@relation Training-weka.filters.unsupervised.attribute.Remove-R1

@attribute score_tag {NONE,P,NEU,N,P+,N+}
@attribute agreement {AGREEMENT,DISAGREEMENT}
@attribute subjectivity {OBJECTIVE,SUBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute anger numeric
@attribute joy numeric
@attribute fear numeric
@attribute sadness numeric
@attribute surprise numeric
@attribute noAlphanumerics numeric
@attribute negation_words numeric
@attribute word_number numeric
@attribute misspelled numeric
@attribute class {1,2,3,4,5}

@data
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.400165,0.084284,0.119539,0.367659,0.028354,185,11,183,2,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.584082,0.085582,0.152645,0.149966,0.027725,54,0,53,2,1
N,AGREEMENT,SUBJECTIVE,90,IRONIC,0.792806,0.040638,0.018734,0.134323,0.013499,28,11,26,1,1
P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.461231,0.029104,0.047217,0.457746,0.004701,50,11,48,0,1
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.577152,0.014842,0.046392,0.350856,0.010757,111,33,107,2,1
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.528098,0.033197,0.097829,0.321737,0.01914,58,0,57,3,1
P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.483696,0.056069,0.140583,0.264923,0.054729,243,11,208,2,1
P+,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.397693,0.092723,0.063862,0.280374,0.165348,120,0,119,4,1
N,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.439317,0.038454,0.100427,0.370872,0.05093,89,11,83,0,1
N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.907286,0.01085,0.011338,0.067236,0.003292,55,0,53,2,1
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.653546,0.01033,0.194802,0.135613,0.00571,82,0,80,4,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.550465,0.017781,0.036258,0.380594,0.014903,84,11,82,0,1
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.507193,0.087313,0.107842,0.284696,0.012957,117,44,112,1,1
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.471166,0.06066,0.089544,0.345031,0.0336,40,0,39,2,1
NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.625231,0.009538,0.192432,0.153439,0.019359,54,0,52,1,1
NEU,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.717612,0.012922,0.040079,0.225062,0.004325,115,22,111,2,1
P,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.674779,0.034641,0.05547,0.21394,0.021171,58,22,55,0,1
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.411874,0.162445,0.061682,0.320187,0.043812,31,0,30,0,1
P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.225627,0.016598,0.091127,0.467015,0.199633,41,0,39,2,1
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.244563,0.007567,0.063877,0.662547,0.021445,79,11,76,2,1
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.546007,0.05373,0.028814,0.348068,0.023382,41,0,40,5,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.463446,0.027152,0.03532,0.312221,0.161861,119,0,118,2,1
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.369407,0.082152,0.19267,0.332569,0.023201,160,88,151,3,1
NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.489654,0.057127,0.148341,0.252397,0.05248,87,0,86,1,1
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.492453,0.076165,0.04656,0.332017,0.052805,730,0,527,3,1
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.134073,0.194937,0.04369,0.424679,0.20262,102,11,97,0,1
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.304846,0.136754,0.10953,0.406236,0.042634,78,22,74,4,1
N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.764609,0.020556,0.046064,0.158314,0.010457,177,22,169,1,1
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.773422,0.029347,0.048332,0.139787,0.009112,118,0,117,6,1
P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.187283,0.109283,0.252355,0.417612,0.033467,115,44,110,2,1
NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.641618,0.010955,0.111645,0.216737,0.019045,218,22,213,5,1
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.439994,0.035419,0.090652,0.413092,0.020843,21,0,20,0,1
N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.185573,0.037653,0.02457,0.552903,0.1993,315,0,310,10,1
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.21194,0.232945,0.121274,0.36347,0.070372,119,22,116,1,1
P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.096729,0.398856,0.053418,0.18179,0.269208,107,11,103,3,1
N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.562961,0.061484,0.077585,0.261842,0.036129,125,0,123,3,1
N+,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.657766,0.032904,0.048825,0.249757,0.010748,165,44,159,1,1
N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.562876,0.012642,0.050781,0.369017,0.004684,130,11,126,1,1
P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.559147,0.029316,0.133458,0.266551,0.011528,29,0,28,1,1
