@relation TestingWordCounter-weka.filters.unsupervised.attribute.Remove-R1

@attribute score_tag {NONE,P,P+,N,NEU,N+}
@attribute agreement {AGREEMENT,DISAGREEMENT}
@attribute subjectivity {OBJECTIVE,SUBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute anger numeric
@attribute joy numeric
@attribute fear numeric
@attribute sadness numeric
@attribute surprise numeric
@attribute word_number numeric
@attribute class {1,2,3,4,5}

@data
NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.09171,0.219331,0.112093,0.522202,0.054663,104,?
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.348794,0.061947,0.025253,0.287541,0.276465,50,?
N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.356335,0.036115,0.020449,0.419486,0.167615,147,?
P,AGREEMENT,SUBJECTIVE,82,IRONIC,0.160287,0.145067,0.142618,0.476274,0.075755,40,?
P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.022902,0.325101,0.016171,0.02767,0.608156,47,?
P,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.199138,0.215687,0.056528,0.128951,0.399696,100,?
P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.501835,0.039313,0.05057,0.231509,0.176774,108,?
N,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.146939,0.081709,0.03766,0.629042,0.104649,133,?
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.201376,0.248212,0.039459,0.323842,0.187112,86,?
P,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.673116,0.086038,0.071752,0.144249,0.024845,119,?
P+,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.230248,0.280661,0.044739,0.29566,0.148692,261,?
NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.149875,0.473319,0.057396,0.262991,0.056419,7,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.016128,0.677466,0.055497,0.044578,0.20633,79,?
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.535957,0.110445,0.039509,0.266977,0.047112,152,?
N,DISAGREEMENT,SUBJECTIVE,72,IRONIC,0.179758,0.146912,0.322516,0.277076,0.073738,37,?
P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.563281,0.094931,0.034528,0.195606,0.111655,99,?
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.561586,0.07833,0.043442,0.248412,0.06823,186,?
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.161317,0.185587,0.111506,0.366481,0.175108,24,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.399139,0.0092,0.0836,0.49295,0.015111,38,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.104668,0.408121,0.025016,0.078473,0.383722,41,?
P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.003389,0.324232,0.010103,0.016635,0.645642,59,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.051123,0.353103,0.044723,0.058845,0.492205,37,?
P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.106362,0.42952,0.107234,0.17238,0.184504,27,?
P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.579552,0.02055,0.030071,0.355579,0.014248,72,?
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.353385,0.049163,0.148351,0.308767,0.140334,266,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.436571,0.081105,0.084263,0.314195,0.083866,61,?
P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.080075,0.48506,0.047428,0.193741,0.193697,81,?
P,AGREEMENT,SUBJECTIVE,87,IRONIC,0.251194,0.234255,0.051235,0.385822,0.077495,53,?
P+,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.08692,0.400285,0.025776,0.072837,0.414182,30,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.091461,0.423195,0.042714,0.32378,0.118849,98,?
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.218317,0.102384,0.036227,0.527989,0.115083,45,?
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.057985,0.290306,0.021335,0.18034,0.450034,45,?
P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.6536,0.021907,0.025542,0.189999,0.108951,151,?
P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.300921,0.130814,0.145093,0.399528,0.023644,68,?
P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.038857,0.549662,0.04909,0.171671,0.190721,86,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.104948,0.137951,0.187535,0.305603,0.263962,53,?
P+,AGREEMENT,SUBJECTIVE,87,IRONIC,0.352423,0.170033,0.142684,0.284115,0.050746,130,?
P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.020731,0.240579,0.035055,0.044354,0.659282,42,?
P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.337508,0.299471,0.018463,0.126854,0.217704,82,?
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.632989,0.015716,0.073089,0.247561,0.030645,178,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.523611,0.073633,0.083869,0.288938,0.02995,31,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.02375,0.306193,0.013867,0.140489,0.515701,370,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.337691,0.124126,0.039238,0.429783,0.069162,74,?
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.511266,0.044811,0.038883,0.306671,0.098369,218,?
P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.193087,0.145934,0.389123,0.246908,0.024948,506,?
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.429701,0.203486,0.101222,0.196246,0.069346,203,?
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.646145,0.051689,0.026315,0.180871,0.09498,335,?
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.336189,0.036134,0.073143,0.464351,0.090182,241,?
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.412188,0.15797,0.076976,0.315324,0.037542,45,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.167413,0.29237,0.121403,0.321783,0.097031,128,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.779754,0.014372,0.050379,0.141175,0.01432,63,?
P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.179668,0.255388,0.244884,0.163633,0.156426,149,?
P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.075604,0.263363,0.049046,0.195,0.416987,196,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.598323,0.054315,0.104262,0.197754,0.045346,193,?
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.611099,0.045084,0.067883,0.258815,0.01712,422,?
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.263511,0.138812,0.061794,0.412322,0.123561,118,?
