@relation Training

@attribute id numeric
@attribute score_tag {NONE,P,NEU,N,P+,N+}
@attribute agreement {AGREEMENT,DISAGREEMENT}
@attribute subjectivity {OBJECTIVE,SUBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute anger numeric
@attribute joy numeric
@attribute fear numeric
@attribute sadness numeric
@attribute surprise numeric
@attribute noAlphanumerics numeric
@attribute negation_words numeric
@attribute word_number numeric
@attribute misspelled numeric
@attribute extraversion numeric
@attribute openness numeric
@attribute agreeableness numeric
@attribute conscientiousness numeric
@attribute class {1,2,3,4,5}

@data
81,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.264804,0.407525,0.066378,0.211159,0.050134,73,0,71,2,0.491915,0.518077,0.458109,0.485113,1
82,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.81027,0.022161,0.039775,0.112828,0.014966,51,0,50,1,0.558087,0.489948,0.507671,0.493893,1
83,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.882372,0.0025,0.012458,0.097683,0.004988,180,77,167,5,0.481359,0.482606,0.455051,0.501491,1
84,N,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.538558,0.050085,0.13718,0.252869,0.021308,57,11,55,1,0.410247,0.480005,0.355184,0.552676,1
85,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.736956,0.004567,0.042182,0.212388,0.003906,89,0,88,0,0.540115,0.508545,0.620652,0.466939,1
86,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.804898,0.008996,0.069594,0.093108,0.023404,109,0,108,7,0.433696,0.506172,0.426401,0.520836,1
87,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.621658,0.013652,0.05431,0.301297,0.009084,105,0,104,2,0.438448,0.455638,0.429022,0.516728,1
88,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.226911,0.111324,0.108675,0.467802,0.085287,193,0,191,8,0.49656,0.507536,0.403673,0.519144,1
89,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.488161,0.098827,0.05789,0.23022,0.124902,67,22,62,2,0.460592,0.514326,0.469962,0.533952,1
90,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.569388,0.050805,0.072494,0.226092,0.08122,48,11,45,2,0.381165,0.571577,0.355227,0.595397,1
91,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.681301,0.013385,0.025068,0.278663,0.001582,130,11,120,5,0.500563,0.490173,0.483757,0.483253,1
92,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.522806,0.080625,0.081641,0.246214,0.068714,321,0,317,8,0.497386,0.455001,0.361747,0.510975,1
93,NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.363154,0.217166,0.117546,0.209797,0.092337,98,0,93,6,0.444661,0.478163,0.402865,0.53794,1
94,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.5292,0.099527,0.124688,0.212319,0.034267,146,22,143,2,0.488084,0.51348,0.407921,0.507998,1
95,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.446134,0.068386,0.198558,0.26102,0.025901,87,11,85,3,0.520104,0.491269,0.487167,0.501991,1
96,P,DISAGREEMENT,OBJECTIVE,83,NONIRONIC,0.419109,0.04897,0.132297,0.327171,0.072453,105,0,102,2,0.537985,0.539938,0.461032,0.496932,1
97,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.495351,0.069001,0.096477,0.303772,0.035398,81,0,79,0,0.507407,0.515129,0.541013,0.568623,1
98,N+,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.6458,0.023871,0.03696,0.286575,0.006795,114,11,111,2,0.467286,0.544775,0.514703,0.494743,1
99,P,AGREEMENT,SUBJECTIVE,82,IRONIC,0.374187,0.111535,0.299834,0.175183,0.039262,46,0,45,0,0.452424,0.48432,0.517856,0.522491,1
100,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.683119,0.013531,0.064638,0.235334,0.003379,183,22,180,4,0.546331,0.406665,0.562221,0.51004,1
101,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.476755,0.038328,0.137991,0.311825,0.035102,95,11,92,0,0.501261,0.488038,0.460757,0.510896,1
102,N,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.633857,0.041243,0.093526,0.213574,0.0178,49,0,47,1,0.516637,0.599689,0.500863,0.47486,1
103,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.527797,0.016397,0.068874,0.373505,0.013426,67,0,66,0,0.405345,0.527354,0.466975,0.494881,1
104,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.841313,0.017224,0.011761,0.120555,0.009147,95,11,93,1,0.583185,0.525693,0.467616,0.457776,1
105,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.565474,0.039967,0.091646,0.290078,0.012835,156,0,155,3,0.506588,0.468561,0.393122,0.536359,1
106,N+,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.463125,0.027969,0.102326,0.35355,0.05303,131,11,128,4,0.563836,0.56018,0.473794,0.486474,1
107,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.402954,0.045012,0.061678,0.323811,0.166544,122,0,120,2,0.520663,0.540547,0.386817,0.501101,1
108,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.793878,0.008801,0.016426,0.164128,0.016767,304,11,299,7,0.624894,0.538944,0.586206,0.428069,1
109,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.62245,0.019056,0.031601,0.286048,0.040845,82,0,77,3,0.464148,0.535864,0.363911,0.50553,1
110,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.722193,0.031395,0.027879,0.188012,0.030522,196,11,192,1,0.517072,0.474329,0.512497,0.522261,1
111,N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.736665,0.012018,0.021859,0.216327,0.013131,58,0,57,0,0.398762,0.540092,0.376099,0.504738,1
112,N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.351449,0.165711,0.081416,0.276077,0.125348,97,0,95,7,0.480121,0.461717,0.439109,0.525587,1
113,NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.374249,0.040126,0.032163,0.511004,0.042457,32,0,30,0,0.634654,0.428779,0.467079,0.49725,1
